                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.42779,                0.48102,                0.84655,                0.93923,                0.93939,                0.93609,                0.83919,                0.54315,                0.56408,                0.93019,              0.0011213,              0.0011213,              0.0011213
                     90,                0.47125,                0.47826,                0.86738,                0.93694,                0.93939,                0.94836,                0.84471,                 0.5294,                0.53874,                0.92463,              0.0011178,              0.0011178,              0.0011178
                     91,                0.42839,                0.45693,                0.85134,                0.96468,                  0.962,                0.97198,                 0.8496,                0.56191,                0.53481,                0.91229,              0.0011142,              0.0011142,              0.0011142
                     92,                0.48626,                0.47938,                0.86907,                0.95856,                0.93752,                0.97009,                0.83422,                0.56816,                0.51283,                0.90586,              0.0011107,              0.0011107,              0.0011107
                     93,                0.49141,                 0.4628,                 0.8658,                 0.9359,                 0.9318,                  0.971,                0.84263,                0.53517,                0.54619,                0.90116,              0.0011072,              0.0011072,              0.0011072
                     94,                0.41619,                0.44414,                0.86514,                0.93206,                0.93293,                0.97374,                0.87242,                0.50942,                0.50875,                 0.8933,              0.0011036,              0.0011036,              0.0011036
                     95,                0.44101,                0.43944,                0.85539,                 0.9668,                0.95484,                 0.9845,                0.88401,                0.49164,                0.49114,                0.89201,              0.0011001,              0.0011001,              0.0011001
                     96,                0.45297,                0.44866,                0.85891,                0.92747,                0.96784,                0.98084,                0.87273,                0.50133,                0.47954,                0.89634,              0.0010965,              0.0010965,              0.0010965
                     97,                0.43104,                0.45004,                 0.8558,                0.91649,                      1,                  0.985,                0.87227,                0.51054,                0.47048,                 0.8974,               0.001093,               0.001093,               0.001093
                     98,                0.40753,                  0.431,                0.84418,                 0.9199,                      1,                 0.9825,                0.86701,                0.50124,                0.44792,                0.89147,              0.0010895,              0.0010895,              0.0010895
                     99,                 0.4378,                   0.43,                0.86285,                 0.9561,                0.97011,                   0.99,                 0.8675,                0.48898,                0.45581,                0.89067,              0.0010859,              0.0010859,              0.0010859
                    100,                0.41967,                0.42178,                0.83384,                0.92986,                      1,                 0.9875,                0.86126,                0.49301,                0.46175,                0.89073,              0.0010824,              0.0010824,              0.0010824
                    101,                0.42302,                0.42421,                0.85126,                 0.9298,                      1,                 0.9875,                 0.8696,                0.48355,                0.46626,                0.88556,              0.0010789,              0.0010789,              0.0010789
                    102,                0.45641,                0.44546,                0.86945,                0.92885,                0.97384,                  0.985,                0.88369,                0.47194,                0.44914,                0.87832,              0.0010753,              0.0010753,              0.0010753
                    103,                0.41235,                0.42259,                0.85236,                0.96318,                0.97108,                 0.9925,                0.87987,                 0.4984,                0.46253,                0.88636,              0.0010718,              0.0010718,              0.0010718
                    104,                0.43105,                0.43573,                0.85008,                0.94671,                 0.9697,                0.99038,                0.87908,                0.50302,                0.46291,                0.89096,              0.0010682,              0.0010682,              0.0010682
                    105,                0.44413,                0.43011,                0.84694,                0.92262,                0.96358,                0.98084,                 0.8742,                0.51568,                0.47054,                0.89863,              0.0010647,              0.0010647,              0.0010647
                    106,                0.41653,                0.43665,                0.85683,                0.92198,                 0.9585,                0.98084,                0.87629,                0.51897,                0.47321,                0.90807,              0.0010612,              0.0010612,              0.0010612
                    107,                0.38085,                0.40391,                 0.8474,                0.95238,                0.93939,                0.98101,                 0.8631,                 0.5334,                0.47814,                0.92441,              0.0010576,              0.0010576,              0.0010576
